order_id,order_date,customer_name,product_name,category,quantity,unit_price,country
1028,2024-02-08,Katarzyna Zielińska,Laptop,Electronics,1,3500,Germany
1029,2024-02-09,Jan Kowalski,Mouse,Electronics,3,80,Poland
1030,2024-02-10,Marcin Kaczmarek,Desk,Furniture,1,1250,Germany
1031,2024-03-01,Anna Nowak,Laptop,Electronics,2,3450,Poland
1032,2024-03-02,Piotr Wiśniewski,Keyboard,Electronics,1,150,Germany
1033,2024-03-03,Katarzyna Zielińska,Chair,Furniture,1,360,Poland
1034,2024-03-04,Jan Kowalski,Monitor,Electronics,1,950,Germany
1035,2024-03-05,Marcin Kaczmarek,Laptop,Electronics,1,3550,Poland
1036,2024-03-06,Anna Nowak,Printer,Electronics,1,1100,Germany
1037,2024-03-07,Piotr Wiśniewski,Laptop,Electronics,1,3500,Poland
1038,2024-03-08,Katarzyna Zielińska,Desk,Furniture,2,1200,Germany
1039,2024-03-09,Jan Kowalski,Mouse,Electronics,2,80,Poland
1040,2024-03-10,Marcin Kaczmarek,Laptop,Electronics,1,3550,Germany
1041,2024-04-01,Anna Nowak,Laptop,Electronics,1,3450,Poland
1042,2024-04-02,Piotr Wiśniewski,Monitor,Electronics,1,900,Germany
1043,2024-04-03,Katarzyna Zielińska,Chair,Furniture,1,360,Poland
1044,2024-04-04,Jan Kowalski,Laptop,Electronics,1,3500,Germany
1045,2024-04-05,Marcin Kaczmarek,Desk,Furniture,1,1250,Poland
1046,2024-04-06,Anna Nowak,Mouse,Electronics,2,85,Germany
1047,2024-04-07,Piotr Wiśniewski,Laptop,Electronics,2,3450,Poland
1048,2024-04-08,Katarzyna Zielińska,Printer,Electronics,1,1200,Germany
1049,2024-04-09,Jan Kowalski,Desk,Furniture,1,1200,Poland
1050,2024-04-10,Marcin Kaczmarek,Laptop,Electronics,1,3550,Germany
1051,2024-05-01,Anna Nowak,Laptop,Electronics,1,3450,Poland
1052,2024-05-02,Piotr Wiśniewski,Mouse,Electronics,2,75,Germany
1053,2024-05-03,Katarzyna Zielińska,Keyboard,Electronics,1,150,Poland
1054,2024-05-04,Jan Kowalski,Monitor,Electronics,1,950,Germany
1055,2024-05-05,Marcin Kaczmarek,Laptop,Electronics,1,3550,Poland
1056,2024-05-06,Anna Nowak,Chair,Furniture,2,360,Germany
1057,2024-05-07,Piotr Wiśniewski,Desk,Furniture,1,1200,Poland
1058,2024-05-08,Katarzyna Zielińska,Laptop,Electronics,1,3500,Germany
1059,2024-05-09,Jan Kowalski,Mouse,Electronics,3,80,Poland
1060,2024-05-10,Marcin Kaczmarek,Desk,Furniture,1,1250,Germany
1061,2024-06-01,Anna Nowak,Laptop,Electronics,2,3450,Poland
1062,2024-06-02,Piotr Wiśniewski,Keyboard,Electronics,1,150,Germany
1063,2024-06-03,Katarzyna Zielińska,Chair,Furniture,1,360,Poland
1064,2024-06-04,Jan Kowalski,Monitor,Electronics,1,950,Germany
1065,2024-06-05,Marcin Kaczmarek,Laptop,Electronics,1,3550,Poland
1066,2024-06-06,Anna Nowak,Printer,Electronics,1,1100,Germany
1067,2024-06-07,Piotr Wiśniewski,Laptop,Electronics,1,3500,Poland
1068,2024-06-08,Katarzyna Zielińska,Desk,Furniture,2,1200,Germany
1069,2024-06-09,Jan Kowalski,Mouse,Electronics,2,80,Poland
1070,2024-06-10,Marcin Kaczmarek,Laptop,Electronics,1,3550,Germany
1071,2024-07-01,Anna Nowak,Laptop,Electronics,1,3450,Poland
1072,2024-07-02,Piotr Wiśniewski,Monitor,Electronics,1,900,Germany
1073,2024-07-03,Katarzyna Zielińska,Chair,Furniture,1,360,Poland
1074,2024-07-04,Jan Kowalski,Laptop,Electronics,1,3500,Germany
1075,2024-07-05,Marcin Kaczmarek,Desk,Furniture,1,1250,Poland
1076,2024-07-06,Anna Nowak,Mouse,Electronics,2,85,Germany
1077,2024-07-07,Piotr Wiśniewski,Laptop,Electronics,2,3450,Poland
1078,2024-07-08,Katarzyna Zielińska,Printer,Electronics,1,1200,Germany
1079,2024-07-09,Jan Kowalski,Desk,Furniture,1,1200,Poland
1080,2024-07-10,Marcin Kaczmarek,Laptop,Electronics,1,3550,Germany
1081,2024-08-01,Anna Nowak,Laptop,Electronics,1,3450,Poland
1082,2024-08-02,Piotr Wiśniewski,Mouse,Electronics,2,75,Germany
1083,2024-08-03,Katarzyna Zielińska,Keyboard,Electronics,1,150,Poland
1084,2024-08-04,Jan Kowalski,Monitor,Electronics,1,950,Germany
1085,2024-08-05,Marcin Kaczmarek,Laptop,Electronics,1,3550,Poland
1086,2024-08-06,Anna Nowak,Chair,Furniture,2,360,Germany
1087,2024-08-07,Piotr Wiśniewski,Desk,Furniture,1,1200,Poland
1088,2024-08-08,Katarzyna Zielińska,Laptop,Electronics,1,3500,Germany
1089,2024-08-09,Jan Kowalski,Mouse,Electronics,3,80,Poland
1090,2024-08-10,Marcin Kaczmarek,Desk,Furniture,1,1250,Germany
1091,2024-09-01,Anna Nowak,Laptop,Electronics,2,3450,Poland
1092,2024-09-02,Piotr Wiśniewski,Keyboard,Electronics,1,150,Germany
1093,2024-09-03,Katarzyna Zielińska,Chair,Furniture,1,360,Poland
1094,2024-09-04,Jan Kowalski,Monitor,Electronics,1,950,Germany
1095,2024-09-05,Marcin Kaczmarek,Laptop,Electronics,1,3550,Poland
1096,2024-09-06,Anna Nowak,Printer,Electronics,1,1100,Germany
1097,2024-09-07,Piotr Wiśniewski,Laptop,Electronics,1,3500,Poland
1098,2024-09-08,Katarzyna Zielińska,Desk,Furniture,2,1200,Germany
1099,2024-09-09,Jan Kowalski,Mouse,Electronics,2,80,Poland
1100,2024-09-10,Marcin Kaczmarek,Laptop,Electronics,1,3550,Germany
1101,2025-01-05,Jan Kowalski,Laptop,Electronics,1,3550,Poland
1102,2025-01-06,Anna Nowak,Mouse,Electronics,2,85,Poland
1103,2025-01-06,Piotr Wiśniewski,Keyboard,Electronics,1,155,Poland
1104,2025-01-07,Katarzyna Zielińska,Monitor,Electronics,2,950,Germany
1105,2025-01-08,Marcin Kaczmarek,Chair,Furniture,1,360,Poland
1106,2025-01-09,Anna Nowak,Desk,Furniture,1,1250,Germany
1107,2025-01-10,Jan Kowalski,Laptop,Electronics,1,3600,Poland
1108,2025-01-10,Piotr Wiśniewski,Mouse,Electronics,3,78,Germany
1109,2025-01-11,Katarzyna Zielińska,Chair,Furniture,2,365,Germany
1110,2025-01-12,Marcin Kaczmarek,Laptop,Electronics,1,3600,Poland
1111,2026-01-05,Jan Kowalski,Laptop,Electronics,1,3650,Poland
1112,2026-01-06,Anna Nowak,Mouse,Electronics,2,90,Poland
1113,2026-01-06,Piotr Wiśniewski,Keyboard,Electronics,1,160,Poland
1114,2026-01-07,Katarzyna Zielińska,Monitor,Electronics,2,980,Germany
1115,2026-01-08,Marcin Kaczmarek,Chair,Furniture,1,370,Poland
1116,2026-01-09,Anna Nowak,Desk,Furniture,1,1300,Germany
1117,2026-01-10,Jan Kowalski,Laptop,Electronics,1,3650,Poland
1118,2026-01-10,Piotr Wiśniewski,Mouse,Electronics,3,80,Germany
1119,2026-01-11,Katarzyna Zielińska,Chair,Furniture,2,370,Germany
1120,2026-01-12,Marcin Kaczmarek,Laptop,Electronics,1,3650,Poland
